"","date","is_from_me"
"354","2018-12-19 06:30:58 UTC",1
"355","2018-12-19 06:35:07 UTC",1
"356","2018-12-19 06:38:47 UTC",0
"357","2018-12-19 06:39:32 UTC",1
"358","2018-12-19 06:43:06 UTC",0
"359","2018-12-19 06:43:10 UTC",0
"360","2018-12-19 06:43:12 UTC",0
"361","2018-12-19 06:43:19 UTC",0
"362","2018-12-19 06:43:22 UTC",0
"363","2018-12-19 06:43:34 UTC",0
"364","2018-12-19 06:43:38 UTC",0
"365","2018-12-19 06:43:49 UTC",0
"366","2018-12-19 06:45:36 UTC",1
"367","2018-12-19 06:50:03 UTC",0
"368","2018-12-19 06:51:03 UTC",1
"369","2018-12-19 06:51:37 UTC",1
"370","2018-12-19 06:55:52 UTC",1
"371","2018-12-19 06:57:00 UTC",1
"372","2018-12-19 06:58:26 UTC",0
"373","2018-12-19 07:01:04 UTC",1
"374","2018-12-19 07:01:14 UTC",0
"375","2018-12-19 07:01:26 UTC",1
"376","2018-12-19 07:02:28 UTC",0
"377","2018-12-19 07:02:32 UTC",0
"378","2018-12-19 07:04:48 UTC",1
"379","2018-12-19 07:06:00 UTC",0
"380","2018-12-19 07:06:48 UTC",1
"381","2018-12-19 07:19:14 UTC",0
"382","2018-12-19 07:19:50 UTC",1
"383","2018-12-19 07:20:28 UTC",0
"384","2018-12-19 07:21:16 UTC",1
"385","2018-12-19 07:22:01 UTC",0
"386","2018-12-19 07:22:30 UTC",1
"387","2018-12-19 07:26:13 UTC",1
"388","2018-12-19 07:33:19 UTC",0
"389","2018-12-19 07:34:09 UTC",1
"390","2018-12-19 16:10:38 UTC",1
"391","2018-12-19 16:29:57 UTC",1
"392","2018-12-19 17:06:37 UTC",1
"393","2018-12-19 17:06:54 UTC",0
"394","2018-12-19 17:07:09 UTC",0
"395","2018-12-19 17:09:33 UTC",1
"396","2018-12-19 17:23:18 UTC",0
"397","2018-12-19 17:23:42 UTC",1
"398","2018-12-19 17:26:41 UTC",0
"399","2018-12-19 17:27:15 UTC",1
"400","2018-12-19 18:02:12 UTC",0
"401","2018-12-19 21:40:52 UTC",1
"402","2018-12-19 23:05:38 UTC",0
"403","2018-12-19 23:06:48 UTC",1
"404","2018-12-19 23:07:11 UTC",0
"405","2018-12-19 23:07:47 UTC",1
"406","2018-12-19 23:22:58 UTC",0
"407","2018-12-19 23:23:21 UTC",1
"408","2018-12-19 23:54:18 UTC",0
"409","2018-12-19 23:54:26 UTC",1
"410","2018-12-19 23:55:46 UTC",0
"411","2018-12-19 23:56:37 UTC",1
"412","2018-12-20 02:12:22 UTC",1
"413","2018-12-20 02:14:01 UTC",0
"414","2018-12-20 02:14:07 UTC",0
"415","2018-12-20 02:14:26 UTC",1
"416","2018-12-20 02:17:36 UTC",1
"417","2018-12-20 04:54:53 UTC",1
"418","2018-12-20 05:11:17 UTC",1
"419","2018-12-20 05:30:36 UTC",0
"420","2018-12-20 05:31:27 UTC",1
"421","2018-12-20 05:32:46 UTC",1
"422","2018-12-20 05:37:08 UTC",0
"423","2018-12-20 05:37:53 UTC",1
"424","2018-12-20 05:38:40 UTC",0
"425","2018-12-20 05:38:57 UTC",1
"426","2018-12-20 05:41:18 UTC",1
"427","2018-12-20 06:14:19 UTC",0
"428","2018-12-20 06:14:25 UTC",0
"429","2018-12-20 06:15:08 UTC",1
"430","2018-12-20 06:26:04 UTC",0
"431","2018-12-20 06:26:45 UTC",1
"432","2018-12-20 06:27:50 UTC",1
"433","2018-12-20 06:52:19 UTC",1
"434","2018-12-20 06:57:54 UTC",0
"435","2018-12-20 06:58:47 UTC",1
"436","2018-12-20 06:58:57 UTC",1
"437","2018-12-20 07:05:58 UTC",0
"438","2018-12-20 07:06:34 UTC",1
"439","2018-12-20 07:08:02 UTC",1
"440","2018-12-20 07:16:46 UTC",0
"441","2018-12-20 07:17:41 UTC",1
"442","2018-12-20 17:13:29 UTC",1
"443","2018-12-20 17:34:28 UTC",0
"444","2018-12-20 17:34:55 UTC",1
"445","2018-12-20 18:01:07 UTC",1
"446","2018-12-20 18:17:55 UTC",0
"447","2018-12-20 18:18:31 UTC",1
"448","2018-12-20 18:19:39 UTC",0
"449","2018-12-20 18:20:11 UTC",1
"450","2018-12-20 18:20:39 UTC",1
"451","2018-12-20 18:23:12 UTC",0
"452","2018-12-20 18:23:16 UTC",0
"453","2018-12-20 18:23:59 UTC",1
"454","2018-12-20 19:23:42 UTC",1
"455","2018-12-20 21:31:15 UTC",0
"456","2018-12-20 21:32:12 UTC",1
"457","2018-12-20 21:33:04 UTC",0
"458","2018-12-20 21:33:55 UTC",1
"459","2018-12-20 21:34:17 UTC",1
"460","2018-12-20 21:34:27 UTC",1
"461","2018-12-20 21:49:44 UTC",1
"462","2018-12-20 22:36:35 UTC",0
"463","2018-12-20 22:38:21 UTC",1
"464","2018-12-20 22:40:50 UTC",0
"465","2018-12-20 22:42:02 UTC",1
"466","2018-12-20 22:42:42 UTC",0
"467","2018-12-20 22:43:21 UTC",1
"468","2018-12-20 22:44:07 UTC",0
"469","2018-12-20 22:45:04 UTC",1
"470","2018-12-20 22:52:31 UTC",0
"471","2018-12-20 22:52:55 UTC",1
"472","2018-12-20 22:53:41 UTC",1
"473","2018-12-20 23:11:29 UTC",0
"474","2018-12-20 23:12:45 UTC",1
"475","2018-12-20 23:41:34 UTC",0
"476","2018-12-20 23:43:04 UTC",1
"477","2018-12-20 23:55:32 UTC",0
"478","2018-12-20 23:56:09 UTC",1
"479","2018-12-20 23:56:27 UTC",1
"480","2018-12-21 00:04:23 UTC",1
"481","2018-12-21 00:10:39 UTC",0
"482","2018-12-21 00:10:50 UTC",0
"483","2018-12-21 00:10:51 UTC",0
"484","2018-12-21 00:11:36 UTC",1
"485","2018-12-21 00:12:53 UTC",1
"486","2018-12-21 00:55:47 UTC",0
"487","2018-12-21 00:56:28 UTC",1
"488","2018-12-21 00:56:59 UTC",1
"489","2018-12-21 01:00:09 UTC",0
"490","2018-12-21 01:00:15 UTC",0
"491","2018-12-21 01:00:59 UTC",1
"492","2018-12-21 01:12:49 UTC",0
"493","2018-12-21 01:13:19 UTC",1
"494","2018-12-21 01:19:14 UTC",0
"495","2018-12-21 01:19:58 UTC",1
"496","2018-12-21 01:37:06 UTC",1
"497","2018-12-21 01:49:06 UTC",1
"498","2018-12-21 02:01:00 UTC",1
"499","2018-12-21 04:43:37 UTC",1
"500","2018-12-21 05:16:14 UTC",1
"501","2018-12-21 05:44:11 UTC",0
"502","2018-12-21 05:44:28 UTC",1
"503","2018-12-21 05:50:27 UTC",0
"504","2018-12-21 05:52:31 UTC",1
"505","2018-12-21 05:54:01 UTC",1
"506","2018-12-21 06:01:47 UTC",0
"507","2018-12-21 06:02:27 UTC",1
"508","2018-12-21 06:02:29 UTC",1
